id,value
id_0,26
id_1,56
id_2,21
id_3,28
id_4,9
id_5,23
id_6,42
id_7,18
id_8,48
id_9,29
id_10,36
id_11,57
id_12,40
id_13,33
id_14,29
id_15,11
id_16,54
id_17,20
id_18,15
id_19,16
id_20,15
id_21,26
id_22,36
id_23,9
id_24,61
id_25,44
id_26,26
id_27,9
id_28,26
id_29,34
id_30,15
id_31,11
id_32,14
id_33,5
id_34,18
id_35,46
id_36,24
id_37,32
id_38,8
id_39,55
id_40,41
id_41,22
id_42,47
id_43,19
id_44,36
id_45,53
id_46,60
id_47,39
id_48,51
id_49,34
id_50,32
id_51,23
id_52,45
id_53,26
id_54,36
id_55,38
id_56,25
id_57,19
id_58,41
id_59,33
id_60,10
id_61,28
id_62,30
id_63,45
id_64,49
id_65,27
id_66,38
id_67,53
id_68,30
id_69,40
id_70,63
id_71,56
id_72,39
id_73,10
id_74,15
id_75,32
id_76,58
id_77,5
id_78,48
id_79,39
id_80,7
id_81,20
id_82,8
id_83,38
id_84,7
id_85,4
id_86,16
id_87,12
id_88,21
id_89,21
id_90,27
id_91,11
id_92,15
id_93,12
id_94,34
id_95,13
id_96,15
id_97,9
id_98,9
id_99,7
id_100,12
id_101,20
id_102,9
id_103,6
id_104,15
id_105,31
id_106,25
id_107,11
id_108,22
id_109,20
id_110,10
id_111,13
id_112,14
id_113,23
id_114,23
id_115,14
id_116,15
id_117,36
id_118,27
id_119,3
id_120,3
id_121,13
id_122,13
id_123,13
id_124,6
id_125,24
id_126,24
id_127,11
id_128,16
id_129,15
id_130,4
id_131,29
id_132,17
id_133,37
id_134,23
id_135,21
id_136,13
id_137,21
id_138,67
id_139,63
id_140,27
id_141,13
id_142,22
id_143,9
id_144,18
id_145,10
id_146,20
id_147,7
id_148,14
id_149,16
id_150,38
id_151,16
id_152,21
id_153,11
id_154,19
id_155,26
id_156,18
id_157,32
id_158,7
id_159,18
id_160,37
id_161,18
id_162,47
id_163,17
id_164,33
id_165,26
id_166,19
id_167,3
id_168,64
id_169,19
id_170,16
id_171,57
id_172,18
id_173,6
id_174,30
id_175,1
id_176,8
id_177,24
id_178,22
id_179,21
id_180,38
id_181,31
id_182,34
id_183,17
id_184,6
id_185,40
id_186,32
id_187,27
id_188,14
id_189,20
id_190,12
id_191,13
id_192,28
id_193,77
id_194,33
id_195,11
id_196,58
id_197,17
id_198,19
id_199,22
id_200,107
id_201,25
id_202,58
id_203,5
id_204,61
id_205,26
id_206,13
id_207,19
id_208,57
id_209,17
id_210,39
id_211,69
id_212,22
id_213,122
id_214,35
id_215,80
id_216,78
id_217,62
id_218,34
id_219,29
id_220,29
id_221,59
id_222,25
id_223,35
id_224,43
id_225,10
id_226,5
id_227,76
id_228,25
id_229,2
id_230,38
id_231,15
id_232,22
id_233,4
id_234,18
id_235,20
id_236,14
id_237,6
id_238,24
id_239,12
