id,value
id_0,26
id_1,61
id_2,19
id_3,28
id_4,8
id_5,32
id_6,42
id_7,17
id_8,48
id_9,32
id_10,38
id_11,59
id_12,36
id_13,42
id_14,26
id_15,11
id_16,51
id_17,21
id_18,18
id_19,19
id_20,15
id_21,28
id_22,36
id_23,8
id_24,60
id_25,46
id_26,26
id_27,8
id_28,27
id_29,36
id_30,19
id_31,11
id_32,16
id_33,6
id_34,17
id_35,41
id_36,20
id_37,29
id_38,8
id_39,59
id_40,46
id_41,17
id_42,50
id_43,18
id_44,42
id_45,50
id_46,59
id_47,39
id_48,54
id_49,39
id_50,30
id_51,25
id_52,40
id_53,25
id_54,38
id_55,39
id_56,24
id_57,21
id_58,37
id_59,30
id_60,13
id_61,21
id_62,31
id_63,53
id_64,50
id_65,27
id_66,39
id_67,53
id_68,30
id_69,38
id_70,66
id_71,54
id_72,43
id_73,10
id_74,13
id_75,33
id_76,61
id_77,2
id_78,44
id_79,40
id_80,7
id_81,22
id_82,7
id_83,33
id_84,8
id_85,4
id_86,17
id_87,11
id_88,17
id_89,25
id_90,30
id_91,12
id_92,13
id_93,8
id_94,37
id_95,14
id_96,17
id_97,10
id_98,10
id_99,3
id_100,12
id_101,19
id_102,11
id_103,6
id_104,13
id_105,37
id_106,27
id_107,7
id_108,17
id_109,16
id_110,13
id_111,17
id_112,14
id_113,28
id_114,21
id_115,14
id_116,9
id_117,43
id_118,29
id_119,0
id_120,2
id_121,12
id_122,14
id_123,14
id_124,7
id_125,25
id_126,21
id_127,12
id_128,19
id_129,16
id_130,4
id_131,33
id_132,14
id_133,26
id_134,24
id_135,21
id_136,10
id_137,19
id_138,75
id_139,61
id_140,26
id_141,15
id_142,24
id_143,8
id_144,13
id_145,9
id_146,21
id_147,7
id_148,14
id_149,17
id_150,49
id_151,22
id_152,23
id_153,14
id_154,14
id_155,25
id_156,23
id_157,34
id_158,3
id_159,21
id_160,42
id_161,19
id_162,56
id_163,18
id_164,34
id_165,25
id_166,21
id_167,2
id_168,66
id_169,17
id_170,16
id_171,66
id_172,21
id_173,2
id_174,25
id_175,1
id_176,6
id_177,20
id_178,21
id_179,23
id_180,42
id_181,28
id_182,29
id_183,13
id_184,7
id_185,41
id_186,36
id_187,32
id_188,16
id_189,21
id_190,14
id_191,14
id_192,31
id_193,75
id_194,29
id_195,11
id_196,61
id_197,15
id_198,19
id_199,22
id_200,121
id_201,25
id_202,58
id_203,4
id_204,62
id_205,34
id_206,16
id_207,14
id_208,62
id_209,14
id_210,35
id_211,71
id_212,19
id_213,115
id_214,39
id_215,82
id_216,91
id_217,67
id_218,29
id_219,19
id_220,30
id_221,56
id_222,26
id_223,38
id_224,41
id_225,9
id_226,4
id_227,81
id_228,28
id_229,1
id_230,39
id_231,16
id_232,23
id_233,7
id_234,12
id_235,22
id_236,13
id_237,1
id_238,20
id_239,9
